vorname,anzahl,geschlecht,position
Helene,11,w,2
Johannes,11,m,2
Bruno,11,m,1
Friedrich,11,m,1
Henri,11,m,1
Henry,11,m,1
Amalia,11,w,1
Linus,11,m,1
Elisabeth,11,w,1
Milan,11,m,1
Emily,11,w,1
Tom,11,m,1
Marlene,11,w,1
Mina,11,w,1
Selma,11,w,1
Alexandra,10,w,2
Rosa,10,w,2
Felix,10,m,2
Friedrich,10,m,2
Johann,10,m,2
Leon,10,m,2
Theodor,10,m,2
Wilhelm,10,m,2
Amir,10,m,1
Benjamin,10,m,1
Carl,10,m,1
Elif,10,w,1
Hugo,10,m,1
Romy,10,w,1
Johannes,10,m,1
Tilda,10,w,1
Julian,10,m,1
Zoe,10,w,1
Mats,10,m,1
Mika,10,m,1
Sophie,9,w,3
Luisa,9,w,2
Mathilda,9,w,2
Julius,9,m,2
Amelie,9,w,1
Eva,9,w,1
Ahmad,9,m,1
Isabella,9,w,1
Ahmed,9,m,1
Julia,9,w,1
Benedikt,9,m,1
Daniel,9,m,1
Emir,9,m,1
Erik,9,m,1
Lasse,9,m,1
Matteo,9,m,1
Yusuf,9,m,1
Elisabeth,8,w,3
Marie,8,w,3
Helena,8,w,2
Katharina,8,w,2
Louise,8,w,2
Sofia,8,w,2
Victoria,8,w,2
August,8,m,2
Jakob,8,m,2
Jonathan,8,m,2
Lukas,8,m,2
Noah,8,m,2
Amelia,8,w,1
Ayla,8,w,1
Frida,8,w,1
Juna,8,w,1
Lilly,8,w,1
Lotta,8,w,1
Luna,8,w,1
Aaron,8,m,1
Mara,8,w,1
Edgar,8,m,1
Merle,8,w,1
Emilio,8,m,1
Pauline,8,w,1
Enno,8,m,1
Sarah,8,w,1
Gabriel,8,m,1
Ilyas,8,m,1
Jan,8,m,1
Justus,8,m,1
Konstantin,8,m,1
Leopold,8,m,1
Malik,8,m,1
Mattis,8,m,1
Max,8,m,1
Muhammed,8,m,1
Oscar,8,m,1
Antonia,7,w,2
Carlotta,7,w,2
Elisa,7,w,2
Elise,7,w,2
Ella,7,w,2
Arthur,7,m,2
Isabella,7,w,2
Benedikt,7,m,2
Josephine,7,w,2
Christian,7,m,2
Margarete,7,w,2
Ferdinand,7,m,2
Mia,7,w,2
Finn,7,m,2
Nur,7,w,2
Gabriel,7,m,2
Rose,7,w,2
Jan,7,m,2
Viktoria,7,w,2
Josef,7,m,2
Levi,7,m,2
Oliver,7,m,2
Theo,7,m,2
Alina,7,w,1
Carla,7,w,1
Ela,7,w,1
Lene,7,w,1
Leyla,7,w,1
Livia,7,w,1
Lucy,7,w,1
Medina,7,w,1
Milena,7,w,1
Miriam,7,w,1
Nele,7,w,1
August,7,m,1
Rosa,7,w,1
Bela,7,m,1
Stella,7,w,1
Constantin,7,m,1
Theresa,7,w,1
Elyas,7,m,1
Viktoria,7,w,1
Frederik,7,m,1
Jasper,7,m,1
Joshua,7,m,1
Martin,7,m,1
Michael,7,m,1
Noel,7,m,1
Ruben,7,m,1
Tim,7,m,1
Yunus,7,m,1
Ava,6,w,2
Clara,6,w,2
Emma,6,w,2
Hanna,6,w,2
Andreas,6,m,2
Lea,6,w,2
Ben,6,m,2
Lena,6,w,2
Emanuel,6,m,2
Lotte,6,w,2
Frederik,6,m,2
Georg,6,m,2
Liam,6,m,2
Ludwig,6,m,2
Martin,6,m,2
Michael,6,m,2
Noel,6,m,2
Richard,6,m,2
Thomas,6,m,2
Ada,6,w,1
Anastasia,6,w,1
Cleo,6,w,1
Elise,6,w,1
Helene,6,w,1
Isabel,6,w,1
Lisa,6,w,1
Liv,6,w,1
Louisa,6,w,1
Eric,6,m,1
Lucia,6,w,1
Eymen,6,m,1
Maja,6,w,1
Ilay,6,m,1
Milla,6,w,1
Jannis,6,m,1
Sofia,6,w,1
Joel,6,m,1
Zeynep,6,w,1
Johan,6,m,1
Lian,6,m,1
Luke,6,m,1
Mark,6,m,1
Milo,6,m,1
Ole,6,m,1
Piet,6,m,1
Raphael,6,m,1
Robert,6,m,1
Robin,6,m,1
Sam,6,m,1
Till,6,m,1
Tobias,6,m,1
Karl,5,m,3
Maria,5,m,3
Anna,5,w,3
Amelie,5,w,2
Friederike,5,w,2
Juna,5,w,2
Leonie,5,w,2
Lilly,5,w,2
Lotta,5,w,2
Lucia,5,w,2
Martha,5,w,2
Matilda,5,w,2
Caspar,5,m,2
Franz,5,m,2
Gustav,5,m,2
Kasimir,5,m,2
Konrad,5,m,2
Leo,5,m,2
Leopold,5,m,2
Levin,5,m,2
Linus,5,m,2
Luca,5,m,2
Matteo,5,m,2
Max,5,m,2
Moritz,5,m,2
Oskar,5,m,2
Otto,5,m,2
Raphael,5,m,2
Vincent,5,m,2
Willi,5,m,2
Alea,5,w,1
Alice,5,w,1
Amina,5,w,1
Annabelle,5,w,1
Antonia,5,w,1
Aurora,5,w,1
Carlotta,5,w,1
Celine,5,w,1
Dana,5,w,1
Edda,5,w,1
Eliana,5,w,1
Elin,5,w,1
Elina,5,w,1
Carlo,5,m,1
Hazal,5,w,1
Caspar,5,m,1
Ivy,5,w,1
Ferdinand,5,m,1
Jonna,5,w,1
Fritz,5,m,1
Josephine,5,w,1
Hamza,5,m,1
Karla,5,w,1
Hussein,5,m,1
Kira,5,w,1
Ian,5,m,1
Lana,5,w,1
Ibrahim,5,m,1
Leah,5,w,1
Jaron,5,m,1
Lola,5,w,1
Jonah,5,m,1
Lotte,5,w,1
Joris,5,m,1
Mariella,5,w,1
Leonardo,5,m,1
Marla,5,w,1
Lucas,5,m,1
Nala,5,w,1
Mert,5,m,1
Nila,5,w,1
Mohammed,5,m,1
Nina,5,w,1
Rafael,5,m,1
Nola,5,w,1
Roman,5,m,1
Valentina,5,w,1
Yasin,5,m,1
Wilma,5,w,1
Youssef,5,m,1
Yade,5,w,1
Greta,4,w,3
Marianne,4,w,3
Ada,4,w,2
Amalia,4,w,2
Anne,4,w,2
Anni,4,w,2
Christin,4,w,2
Elena,4,w,2
Emily,4,w,2
Flora,4,w,2
Frieda,4,w,2
Isabelle,4,w,2
Josefine,4,w,2
Liv,4,w,2
Mae,4,w,2
Mai,4,w,2
Mathilde,4,w,2
Mila,4,w,2
Mina,4,w,2
Mira,4,w,2
Constantin,4,m,2
Olivia,4,w,2
Frank,4,m,2
Paulina,4,w,2
Fritz,4,m,2
Pauline,4,w,2
Henri,4,m,2
Ruth,4,w,2
Henrik,4,m,2
Sofie,4,w,2
James,4,m,2
Su,4,w,2
Joel,4,m,2
Zehra,4,w,2
Jonah,4,m,2
Julian,4,m,2
Klaus,4,m,2
Konstantin,4,m,2
Kurt,4,m,2
Leander,4,m,2
Luis,4,m,2
Magnus,4,m,2
Malik,4,m,2
Marcel,4,m,2
Maxim,4,m,2
Mika,4,m,2
Peter,4,m,2
Sebastian,4,m,2
Simon,4,m,2
William,4,m,2
Wolfgang,4,m,2
Yusuf,4,m,2
Adem,4,m,1
Aleyna,4,w,1
Albert,4,m,1
Alva,4,w,1
Amin,4,m,1
Amilia,4,w,1
Azad,4,m,1
Amira,4,w,1
Batuhan,4,m,1
Ana,4,w,1
Darian,4,m,1
Cataleya,4,w,1
Denis,4,m,1
Daria,4,w,1
Diego,4,m,1
Defne,4,w,1
Dominic,4,m,1
Eleanor,4,w,1
Dominik,4,m,1
Elli,4,w,1
Elian,4,m,1
Emely,4,w,1
Emilian,4,m,1
Emilie,4,w,1
Emre,4,m,1
Fatima,4,w,1
Fabian,4,m,1
Felina,4,w,1
Fiete,4,m,1
Florentine,4,w,1
Franz,4,m,1
Giulia,4,w,1
Gustav,4,m,1
Josefine,4,w,1
Ilja,4,m,1
Julie,4,w,1
Janosch,4,m,1
Kaja,4,w,1
Jona,4,m,1
Karlotta,4,w,1
Joscha,4,m,1
Liana,4,w,1
Kaan,4,m,1
Lilli,4,w,1
Karim,4,m,1
Lilo,4,w,1
Keno,4,m,1
Linda,4,w,1
Kiyan,4,m,1
Louise,4,w,1
Levin,4,m,1
Magdalena,4,w,1
Lino,4,m,1
Martha,4,w,1
Mario,4,m,1
Melina,4,w,1
Matti,4,m,1
Nisa,4,w,1
Maxim,4,m,1
Nour,4,w,1
Mohamed,4,m,1
Paulina,4,w,1
Neo,4,m,1
Philippa,4,w,1
Nicolas,4,m,1
Pia,4,w,1
Nils,4,m,1
Tara,4,w,1
Phil,4,m,1
Yasmina,4,w,1
Sebastian,4,m,1
Yuna,4,w,1
Silas,4,m,1
Alexander,3,m,3
Ali,3,m,3
Friedrich,3,m,3
Georg,3,m,3
Josef,3,m,3
Charlotte,3,w,3
Kurt,3,m,3
Katharina,3,w,3
Michael,3,m,3
Maria,3,w,3
Paul,3,m,3
Thomas,3,m,3
Alice,3,w,2
Alma,3,w,2
Angelika,3,w,2
Augusta,3,w,2
Aurora,3,w,2
Cecilia,3,w,2
Christina,3,w,2
Dorothea,3,w,2
Eleni,3,w,2
Elif,3,w,2
Emilie,3,w,2
Estelle,3,w,2
Eva,3,w,2
Eylül,3,w,2
Felicitas,3,w,2
Florentine,3,w,2
Heidi,3,w,2
Hermine,3,w,2
Aimé,3,m,2
Ida,3,w,2
Albert,3,m,2
Isabel,3,w,2
Alfred,3,m,2
Julie,3,w,2
Antonio,3,m,2
Karla,3,w,2
Can,3,m,2
Karlotta,3,w,2
Christopher,3,m,2
Klara,3,w,2
Edgar,3,m,2
Leni,3,w,2
Elia,3,m,2
Lia,3,w,2
Elian,3,m,2
Lina,3,w,2
Emilian,3,m,2
Louisa,3,w,2
Fiete,3,m,2
Luna,3,w,2
Fynn,3,m,2
Margarethe,3,w,2
Hamza,3,m,2
Monika,3,w,2
Ibrahim,3,m,2
Paula,3,w,2
Isa,3,m,2
Sara,3,w,2
Jasper,3,m,2
Wilhelmine,3,w,2
Jean,3,m,2
Zahra,3,w,2
John,3,m,2
Joseph,3,m,2
Joshua,3,m,2
Kaan,3,m,2
Kai,3,m,2
Kaspar,3,m,2
Kilian,3,m,2
Marian,3,m,2
Markus,3,m,2
Mateo,3,m,2
Matheo,3,m,2
Mattheo,3,m,2
Mikail,3,m,2
Mohamed,3,m,2
Muhammed,3,m,2
Naim,3,m,2
Nicolas,3,m,2
Niklas,3,m,2
Nikolai,3,m,2
Nikolas,3,m,2
Philipp,3,m,2
Robert,3,m,2
Sam,3,m,2
Selim,3,m,2
Stefan,3,m,2
Thore,3,m,2
Umut,3,m,2
Adele,3,w,1
Abdallah,3,m,1
Alara,3,w,1
Alan,3,m,1
Alessia,3,w,1
Amar,3,m,1
Alexandra,3,w,1
Andreas,3,m,1
Aliya,3,w,1
Antoni,3,m,1
Aliyah,3,w,1
Antonio,3,m,1
Amy,3,w,1
Aras,3,m,1
Amélie,3,w,1
Armin,3,m,1
Annabell,3,w,1
Artur,3,m,1
Annika,3,w,1
Aryan,3,m,1
Anouk,3,w,1
Bilal,3,m,1
Ariana,3,w,1
Can,3,m,1
Ariane,3,w,1
Christoph,3,m,1
Aurelia,3,w,1
Danilo,3,m,1
Aylin,3,w,1
Dian,3,m,1
Azra,3,w,1
Edwin,3,m,1
Cosima,3,w,1
Elia,3,m,1
Delia,3,w,1
Eliyas,3,m,1
Diana,3,w,1
Elliot,3,m,1
Ecrin,3,w,1
Emin,3,m,1
Elissa,3,w,1
Filip,3,m,1
Ellen,3,w,1
Georg,3,m,1
Elsa,3,w,1
Hannes,3,m,1
Erika,3,w,1
Hans,3,m,1
Esma,3,w,1
Idris,3,m,1
Felicia,3,w,1
Ilias,3,m,1
Finja,3,w,1
Isa,3,m,1
Fiona,3,w,1
Ivan,3,m,1
Hana,3,w,1
Jacob,3,m,1
Henriette,3,w,1
Jakub,3,m,1
Janne,3,w,1
Jannes,3,m,1
Jasmin,3,w,1
Jonte,3,m,1
Jessica,3,w,1
Joseph,3,m,1
Juno,3,w,1
Kai,3,m,1
Kinga,3,w,1
Kenan,3,m,1
Laila,3,w,1
Kevin,3,m,1
Leen,3,w,1
Kilian,3,m,1
Leila,3,w,1
Kjell,3,m,1
Leora,3,w,1
Lennart,3,m,1
Lieselotte,3,w,1
Lias,3,m,1
Linnea,3,w,1
Lio,3,m,1
Liyana,3,w,1
Luan,3,m,1
Lou,3,w,1
Ludwig,3,m,1
Lovis,3,w,1
Luka,3,m,1
Malia,3,w,1
Léon,3,m,1
Malina,3,w,1
Matheo,3,m,1
Marta,3,w,1
Miran,3,m,1
Mattea,3,w,1
Miraç,3,m,1
Melisa,3,w,1
Miro,3,m,1
Melissa,3,w,1
Mohamad,3,m,1
Mona,3,w,1
Mohammad,3,m,1
Nayla,3,w,1
Nikita,3,m,1
Noa,3,w,1
Noam,3,m,1
Philine,3,w,1
Noyan,3,m,1
Pina,3,w,1
Omar,3,m,1
Ronja,3,w,1
Paolo,3,m,1
Rosalie,3,w,1
Pepe,3,m,1
Rose,3,w,1
Rayan,3,m,1
Sena,3,w,1
Richard,3,m,1
Zehra,3,w,1
Ryan,3,m,1
Zoey,3,w,1
Said,3,m,1
Zoé,3,w,1
Sami,3,m,1
Tammo,3,m,1
Teodor,3,m,1
Tristan,3,m,1
Tuğra,3,m,1
Wilhelm,3,m,1
Willem,3,m,1
Yahya,3,m,1
Carmen,2,w,3
Christiane,2,w,3
An,2,m,3
Clara,2,w,3
Arthur,2,m,3
Gabriele,2,w,3
August,2,m,3
Johanna,2,w,3
Bernhard,2,m,3
Julie,2,w,3
Emanuel,2,m,3
Luise,2,w,3
Emil,2,m,3
Minou,2,w,3
Engel,2,m,3
Victoria,2,w,3
Gustav,2,m,3
Viktoria,2,w,3
Heinrich,2,m,3
Zoe,2,w,3
Hektor,2,m,3
Henry,2,m,3
Immanuel,2,m,3
Jacob,2,m,3
Johann,2,m,3
Johannes,2,m,3
Joshua,2,m,3
Konrad,2,m,3
Maximilian,2,m,3
Minh,2,m,3
Otto,2,m,3
Richard,2,m,3
Tiberius,2,m,3
Valentin,2,m,3
Akua,2,w,2
Alva,2,w,2
Andrea,2,w,2
Andreevna,2,w,2
Anh,2,w,2
Ann,2,w,2
Annelie,2,w,2
Anouk,2,w,2
Athena,2,w,2
Aurelia,2,w,2
Cataleya,2,w,2
Catalina,2,w,2
Celina,2,w,2
Coco,2,w,2
Elea,2,w,2
Elli,2,w,2
Elsa,2,w,2
Evelyn,2,w,2
Fabienne,2,w,2
Fee,2,w,2
Fiona,2,w,2
Francesca,2,w,2
Grace,2,w,2
Greta,2,w,2
Helen,2,w,2
Hira,2,w,2
Ingrid,2,w,2
Aaron,2,m,2
Ivy,2,w,2
Adrian,2,m,2
Jane,2,w,2
Ahmad,2,m,2
Joan,2,w,2
Ahmed,2,m,2
Joline,2,w,2
Akira,2,m,2
Juli,2,w,2
Alejandro,2,m,2
Karin,2,w,2
Alp,2,m,2
Lara,2,w,2
Amadeus,2,m,2
Lieselotte,2,w,2
Anselm,2,m,2
Lilith,2,w,2
Antoine,2,m,2
Lilli,2,w,2
Arno,2,m,2
Linda,2,w,2
Arvid,2,m,2
Linnea,2,w,2
Asaf,2,m,2
Linnéa,2,w,2
Aurelio,2,m,2
Lisbeth,2,w,2
Axel,2,m,2
Liya,2,w,2
Ayaz,2,m,2
Lore,2,w,2
Aziz,2,m,2
Lorena,2,w,2
Balthasar,2,m,2
Lou,2,w,2
Bao,2,m,2
Lydia,2,w,2
Bela,2,m,2
Lynn,2,w,2
Bennett,2,m,2
Madita,2,w,2
Berlin,2,m,2
Magdalena,2,w,2
Bo,2,m,2
Maia,2,w,2
Bradley,2,m,2
Maila,2,w,2
Carlo,2,m,2
Maja,2,w,2
Casimir,2,m,2
Malia,2,w,2
Cenk,2,m,2
Malin,2,w,2
Charlie,2,m,2
Malou,2,w,2
Colin,2,m,2
Manuela,2,w,2
Corvin,2,m,2
Mara,2,w,2
Daniel,2,m,2
Mari,2,w,2
Dante,2,m,2
Marina,2,w,2
Dawid,2,m,2
Marisol,2,w,2
Deniz,2,m,2
Marleen,2,w,2
Dominik,2,m,2
Maryam,2,w,2
Duc,2,m,2
Mathea,2,w,2
Ege,2,m,2
Mavi,2,w,2
Emilio,2,m,2
Mavie,2,w,2
Emin,2,m,2
Maxi,2,w,2
Emre,2,m,2
Maya,2,w,2
Enno,2,m,2
Melek,2,w,2
Eren,2,m,2
Meryem,2,w,2
Ernst,2,m,2
Michelle,2,w,2
Frederick,2,m,2
Minou,2,w,2
George,2,m,2
Miriam,2,w,2
Gia,2,m,2
Naomi,2,w,2
Gilbert,2,m,2
Naz,2,w,2
Hannes,2,m,2
Noemi,2,w,2
Heinz,2,m,2
Nora,2,w,2
Hendrik,2,m,2
Philippa,2,w,2
Henry,2,m,2
Phoebe,2,w,2
Hermann,2,m,2
Pia,2,w,2
Hugo,2,m,2
Polina,2,w,2
Ilan,2,m,2
Rabia,2,w,2
Ivan,2,m,2
Rena,2,w,2
Jacob,2,m,2
Romy,2,w,2
Janosch,2,m,2
Rosalie,2,w,2
Jarne,2,m,2
Sabine,2,w,2
Jonas,2,m,2
Salome,2,w,2
Julien,2,m,2
Sarah,2,w,2
Jörg,2,m,2
Stella,2,w,2
Jürgen,2,m,2
Susanne,2,w,2
Karim,2,m,2
Theresa,2,w,2
Karlo,2,m,2
Tuana,2,w,2
Lennox,2,m,2
Verena,2,w,2
Levent,2,m,2
Yara,2,w,2
Liem,2,m,2
Zeynep,2,w,2
Lio,2,m,2
Zoe,2,w,2
Luan,2,m,2
Zoé,2,w,2
Manoa,2,m,2
Maria,2,m,2
Marlon,2,m,2
Matei,2,m,2
Mateusz,2,m,2
Matti,2,m,2
Maurice,2,m,2
Mikhailovič,2,m,2
Milo,2,m,2
Musa,2,m,2
Navid,2,m,2
Neo,2,m,2
Nikolaus,2,m,2
Oscar,2,m,2
Per,2,m,2
Philian,2,m,2
Rafael,2,m,2
Ruben,2,m,2
Salvatore,2,m,2
Samuel,2,m,2
Taavi,2,m,2
Tobias,2,m,2
Tom,2,m,2
Valerian,2,m,2
Viktor,2,m,2
Werner,2,m,2
Willem,2,m,2
Wolf,2,m,2
Yasin,2,m,2
Yiğit,2,m,2
Yuma,2,m,2
Đức,2,m,2
Adriana,2,w,1
Alicia,2,w,1
Alissa,2,w,1
Alya,2,w,1
Amar,2,w,1
Annelie,2,w,1
Asila,2,w,1
Asya,2,w,1
Abbas,2,m,1
Aulona,2,w,1
Abdulrahman,2,m,1
Aurélie,2,w,1
Aleksandr,2,m,1
Avina,2,w,1
Alessio,2,m,1
Beren,2,w,1
Alex,2,m,1
Cara,2,w,1
Ammar,2,m,1
Carolin,2,w,1
Andrei,2,m,1
Caroline,2,w,1
Anthony,2,m,1
Cecilia,2,w,1
Arel,2,m,1
Charlene,2,w,1
Ari,2,m,1
Chiara,2,w,1
Arian,2,m,1
Coco,2,w,1
Aris,2,m,1
Cora,2,w,1
Aron,2,m,1
Coral,2,w,1
Artin,2,m,1
Ebba,2,w,1
Aurelio,2,m,1
Eda,2,w,1
Balthazar,2,m,1
Elanur,2,w,1
Batu,2,m,1
Eleni,2,w,1
Benedict,2,m,1
Eleonora,2,w,1
Berat,2,m,1
Eleysa,2,w,1
Bjarne,2,m,1
Elinor,2,w,1
Björn,2,m,1
Elis,2,w,1
Bo,2,m,1
Eliz,2,w,1
Boris,2,m,1
Elizabeth,2,w,1
Béla,2,m,1
Elyana,2,w,1
Cesur,2,m,1
Emilija,2,w,1
Charles,2,m,1
Emmi,2,w,1
Christian,2,m,1
Enisa,2,w,1
Claas,2,m,1
Esila,2,w,1
Clemens,2,m,1
Evelin,2,w,1
Dante,2,m,1
Evelyn,2,w,1
Deniz,2,m,1
Evin,2,w,1
Din,2,m,1
Farida,2,w,1
Edin,2,m,1
Fatimah,2,w,1
Eduard,2,m,1
Filippa,2,w,1
Elyes,2,m,1
Flora,2,w,1
Elyesa,2,m,1
Florentina,2,w,1
Emanuel,2,m,1
Freya,2,w,1
Enes,2,m,1
Fritzi,2,w,1
Ennio,2,m,1
Genevieve,2,w,1
Ensar,2,m,1
Hafsa,2,w,1
Eren,2,m,1
Hailey,2,w,1
Florentin,2,m,1
Hala,2,w,1
Florian,2,m,1
Halime,2,w,1
Flynn,2,m,1
Haya,2,w,1
Frederick,2,m,1
Hedda,2,w,1
Fynn,2,m,1
Hedi,2,w,1
Giuliano,2,m,1
Helen,2,w,1
Güney,2,m,1
Helin,2,w,1
Hadi,2,m,1
Hermine,2,w,1
Hamdan,2,m,1
Hilal,2,w,1
Haydar,2,m,1
Hira,2,w,1
Hendrik,2,m,1
Iman,2,w,1
Hennes,2,m,1
Inga,2,w,1
Henrik,2,m,1
Isabelle,2,w,1
Imran,2,m,1
Jana,2,w,1
İsa,2,m,1
Jennifer,2,w,1
Issa,2,m,1
Jette,2,w,1
Ivar,2,m,1
Jolina,2,w,1
Jamil,2,m,1
Juliana,2,w,1
Janis,2,m,1
Kaia,2,w,1
Jannik,2,m,1
Karlie,2,w,1
Jari,2,m,1
Katalea,2,w,1
Jesse,2,m,1
Katharina,2,w,1
Joe,2,m,1
Lavin,2,w,1
Karlo,2,m,1
Layla,2,w,1
Kartal,2,m,1
Leana,2,w,1
Kemal,2,m,1
Leonor,2,w,1
Kenji,2,m,1
Leonora,2,w,1
Kerim,2,m,1
Leonore,2,w,1
Khaled,2,m,1
Lilian,2,w,1
Konstantinos,2,m,1
Lilith,2,w,1
Lars,2,m,1
Linea,2,w,1
Lean,2,m,1
Lisbeth,2,w,1
Leander,2,m,1
Liselotte,2,w,1
Leano,2,m,1
Lorena,2,w,1
Lennard,2,m,1
Lucie,2,w,1
Leonid,2,m,1
Lya,2,w,1
Lev,2,m,1
Malak,2,w,1
Lion,2,m,1
Malou,2,w,1
Lionel,2,m,1
Manuela,2,w,1
Liyan,2,m,1
Marietta,2,w,1
Lovis,2,m,1
Michelle,2,w,1
Lucian,2,m,1
Minna,2,w,1
Lui,2,m,1
Miray,2,w,1
Lunis,2,m,1
Mizgin,2,w,1
Mael,2,m,1
Namika,2,w,1
Magnus,2,m,1
Nelly,2,w,1
Maher,2,m,1
Nicole,2,w,1
Mahmoud,2,m,1
Nika,2,w,1
Maksim,2,m,1
Nilay,2,w,1
Malek,2,m,1
Noelia,2,w,1
Malte,2,m,1
Noemi,2,w,1
Marc,2,m,1
Oona,2,w,1
Marco,2,m,1
Penelope,2,w,1
Marlon,2,m,1
Philomena,2,w,1
Marvin,2,m,1
Polly,2,w,1
Mathis,2,m,1
Rebecca,2,w,1
Mattia,2,m,1
Safiya,2,w,1
Mehmet,2,m,1
Salma,2,w,1
Mete,2,m,1
Samira,2,w,1
Mian,2,m,1
Selina,2,w,1
Michel,2,m,1
Seyedeh,2,w,1
Mikail,2,m,1
Skadi,2,w,1
Milad,2,m,1
Smilla,2,w,1
Mustafa,2,m,1
Sonia,2,w,1
Müslüm,2,m,1
Sonja,2,w,1
Nael,2,m,1
Tessa,2,w,1
Nathan,2,m,1
Tia,2,w,1
Nick,2,m,1
Vanessa,2,w,1
Nico,2,m,1
Vera,2,w,1
Nima,2,m,1
Veronica,2,w,1
Nour,2,m,1
Yael,2,w,1
Oliver,2,m,1
Yara,2,w,1
Patrick,2,m,1
Yaren,2,w,1
Pavel,2,m,1
Zahra,2,w,1
Philian,2,m,1
Zeinab,2,w,1
Philip,2,m,1
Pius,2,m,1
Poyraz,2,m,1
Ray,2,m,1
Roy,2,m,1
Rufus,2,m,1
Selim,2,m,1
Taha,2,m,1
Taim,2,m,1
Taylan,2,m,1
Teoman,2,m,1
Thies,2,m,1
Thomas,2,m,1
Umut,2,m,1
Valerian,2,m,1
Vitus,2,m,1
Walid,2,m,1
William,2,m,1
Wim,2,m,1
Yanis,2,m,1
Yaron,2,m,1
Yazan,2,m,1
Yiğit,2,m,1
Yuma,2,m,1
Yuri,2,m,1
Tonatiuh,1,m,7
Antonio,1,m,6
Maria,1,w,6
Donatus,1,m,6
Bolko,1,m,5
Eunike,1,w,5
Ernst,1,m,5
Flora,1,w,5
Gerardo,1,m,5
Rosalija,1,w,5
Ulrich,1,m,5
Wolfgang,1,m,5
Alfred,1,m,4
Anna,1,w,4
Axel,1,m,4
Binghazi,1,w,4
Casper,1,m,4
Bodil,1,w,4
Cian,1,m,4
Catalina,1,w,4
Claudius,1,m,4
Charlotte,1,w,4
Franziskus,1,m,4
Cosima-Maria,1,w,4
Gabriel,1,m,4
Dorothea,1,w,4
Kasimir,1,m,4
Erika,1,w,4
Luis,1,m,4
Evelin,1,w,4
Mady,1,m,4
Felicitas,1,w,4
Michael,1,m,4
Hedwig,1,w,4
Nabil,1,m,4
Laurentia,1,w,4
Norbert,1,m,4
Maria,1,w,4
Oreste,1,m,4
Mélodie,1,w,4
Ottito,1,m,4
Ondine,1,w,4
Rudolf,1,m,4
Penelope,1,w,4
Saam,1,m,4
Renate,1,w,4
Siddhartha,1,m,4
Rosalie,1,w,4
Siegfried,1,m,4
Solěa,1,w,4
Tapio,1,m,4
Ursula,1,w,4
Thomsen,1,m,4
Victoria,1,w,4
Wolfgang,1,m,4
Yma,1,w,4
Ada,1,w,3
Agnes,1,w,3
Alekseevna,1,w,3
Alexandra,1,w,3
Alfija,1,w,3
Alma,1,w,3
Amalia,1,w,3
Amelie,1,w,3
Amiah,1,w,3
Andréa,1,w,3
Anh,1,w,3
Anne,1,w,3
Aretha,1,w,3
Armgard,1,w,3
Abdullah,1,m,3
Aurora,1,w,3
Abdulwasea,1,m,3
Awen,1,w,3
Abubaker,1,m,3
