vorname,anzahl,geschlecht
Matthias,4,m
Michel,4,m
Mike,4,m
Minh,4,m
Nepomuk,4,m
Nick,4,m
Niclas,4,m
Omar,4,m
Pascal,4,m
Phillip,4,m
Piet,4,m
Salih,4,m
Silas,4,m
Till,4,m
Timon,4,m
Yunus,4,m
Alicia,3,w
Alisa,3,w
Alya,3,w
Amani,3,w
Amy,3,w
Angelika,3,w
Annabelle,3,w
Aurora,3,w
Azra,3,w
Brigitte,3,w
Camille,3,w
Carolina,3,w
Cataleya,3,w
Clementine,3,w
Defne,3,w
Denise,3,w
Dilara,3,w
Dorothea,3,w
Ece,3,w
Edith,3,w
Eleonore,3,w
Ellen,3,w
Ellie,3,w
Emelie,3,w
Emely,3,w
Erika,3,w
Fabienne,3,w
Fatima,3,w
Fatma,3,w
Felina,3,w
Florence,3,w
Florentina,3,w
Franka,3,w
Gertrud,3,w
Grace,3,w
Hedwig,3,w
Iman,3,w
Ines,3,w
Inge,3,w
Isabel,3,w
Jana,3,w
Jella,3,w
Joanna,3,w
Johanne,3,w
Jolie,3,w
Juliette,3,w
Juno,3,w
Kathleen,3,w
Käthe,3,w
Laetitia,3,w
Laila,3,w
Lana,3,w
Larissa,3,w
Leilani,3,w
Lene,3,w
Ahmad,3,m
Leona,3,w
Ahmed,3,m
Leticia,3,w
Antoni,3,m
Lilia,3,w
Armin,3,m
Lilian,3,w
Arne,3,m
Liliana,3,w
Artur,3,m
Lilith,3,w
Augustin,3,m
Lillian,3,w
Aurelio,3,m
Lola,3,w
Balthasar,3,m
Lou,3,w
Bennet,3,m
Madeleine,3,w
Berat,3,m
Malak,3,w
Bernd,3,m
Margareta,3,w
Bilal,3,m
Mari,3,w
Bjarne,3,m
Marisa,3,w
Carlo,3,m
Meliha,3,w
Casper,3,m
Melina,3,w
Charles,3,m
Mieke,3,w
Cihan,3,m
Naomi,3,w
Conrad,3,m
Nathalie,3,w
Damian,3,m
Nayla,3,w
Danilo,3,m
Neele,3,w
Dario,3,m
Nelli,3,w
Darius,3,m
Nil,3,w
Devran,3,m
Philine,3,w
Eduardo,3,m
Rachel,3,w
Elian,3,m
Rahel,3,w
Elliot,3,m
Rebecca,3,w
Emmanuel,3,m
Rebekka,3,w
Enes,3,m
Rosalie,3,w
Enno,3,m
Silvia,3,w
Ernst,3,m
Susanne,3,w
Erwin,3,m
Talia,3,w
George,3,m
Teresa,3,w
Harry,3,m
Tuana,3,w
Hasan,3,m
Ursula,3,w
Hassan,3,m
Valeria,3,w
Hermann,3,m
Wilhelmine,3,w
Ilay,3,m
Zehra,3,w
Ilias,3,m
Zoey,3,w
Isaak,3,m
Zoë,3,w
Jacques,3,m
Jamil,3,m
Jannis,3,m
Jason,3,m
Junes,3,m
Kai,3,m
Kalle,3,m
Kaya,3,m
Kevin,3,m
Lars,3,m
Laurin,3,m
Leonas,3,m
Leonhard,3,m
Lio,3,m
Lionel,3,m
Lorenz,3,m
Lou,3,m
Lovis,3,m
Mads,3,m
Mahdi,3,m
Mahir,3,m
Marvin,3,m
Maximus,3,m
Miguel,3,m
Mikail,3,m
Nathanael,3,m
Nico,3,m
Nikolaos,3,m
Nikolaus,3,m
Noa,3,m
Otis,3,m
Pepe,3,m
Philippe,3,m
Rasmus,3,m
Ricardo,3,m
Roland,3,m
Roman,3,m
Romeo,3,m
Rudolf,3,m
Samir,3,m
Siegfried,3,m
Sinan,3,m
Sky,3,m
Sven,3,m
Teodor,3,m
Titus,3,m
Willem,3,m
Yousef,3,m
Adina,2,w
Adriana,2,w
Ahmed,2,w
Aleksandra,2,w
Alesia,2,w
Alexa,2,w
Alexia,2,w
Alisha,2,w
Alissa,2,w
Aliya,2,w
Amaya,2,w
Amely,2,w
Ana,2,w
Andrea,2,w
Anh,2,w
Ani,2,w
Anita,2,w
Ann,2,w
Annalena,2,w
Annett,2,w
Annie,2,w
Antonie,2,w
Ariana,2,w
Arianna,2,w
Ashley,2,w
Asya,2,w
Athina,2,w
Auguste,2,w
Augustina,2,w
Avin,2,w
Ayla,2,w
Bella,2,w
Bonnie,2,w
Carolin,2,w
Catharina,2,w
Cecilia,2,w
Celia,2,w
Christel,2,w
Christiane,2,w
Christin,2,w
Cléo,2,w
Constanze,2,w
Cosima,2,w
Dalia,2,w
Daliah,2,w
Daniella,2,w
Danielle,2,w
Deniz,2,w
Dicle,2,w
Donata,2,w
Dora,2,w
Abraham,2,m
Ecem,2,w
Adnan,2,m
Edda,2,w
Adriano,2,m
Eden,2,w
Aleksandar,2,m
Eleen,2,w
Aleksandr,2,m
Eleonora,2,w
Alessandro,2,m
Elissa,2,w
Alex,2,m
Elli,2,w
Alfons,2,m
Else,2,w
Allen,2,m
Emina,2,w
Alois,2,m
Enna,2,w
Alper,2,m
Era,2,w
Alperen,2,m
Esila,2,w
Amaru,2,m
Estella,2,w
Ammar,2,m
Estelle,2,w
Amon,2,m
Eugenia,2,w
Anselm,2,m
Eve,2,w
Ante,2,m
Evelyn,2,w
Anthony,2,m
Evita,2,w
Antonius,2,m
Feline,2,w
Arif,2,m
Filipa,2,w
Babak,2,m
Filippa,2,w
Baptiste,2,m
Flora,2,w
Bekir,2,m
Féline,2,w
Bennett,2,m
Gaia,2,w
Bent,2,m
Georgia,2,w
Björn,2,m
Gerda,2,w
Bogdan,2,m
Giulia,2,w
Béla,2,m
Gudrun,2,w
Camillo,2,m
Gözde,2,w
Casimir,2,m
Harper,2,w
Clemens,2,m
Heidi,2,w
Collin,2,m
Helin,2,w
Connor,2,m
Ioanna,2,w
Constantine,2,m
Irene,2,w
Cosmo,2,m
Iris,2,w
Curt,2,m
Ivy,2,w
Damir,2,m
Jasmina,2,w
Davide,2,m
Jessica,2,w
Davin,2,m
Jette,2,w
Denis,2,m
Joana,2,w
Devin,2,m
Jolanda,2,w
Diego,2,m
Jolina,2,w
Dirk,2,m
Jonna,2,w
Diyar,2,m
Jule,2,w
Dominik,2,m
June,2,w
Dylan,2,m
Karina,2,w
Ediz,2,m
Kerstin,2,w
Eduard,2,m
Kevser,2,w
Edward,2,m
Kim,2,w
Egecan,2,m
Lejla,2,w
Elmar,2,m
Leonora,2,w
Elínarson,2,m
Letizia,2,w
Emanuele,2,m
Levana,2,w
Emile,2,m
Liesbeth,2,w
Ensar,2,m
Lili,2,w
Ephraim,2,m
Lily,2,w
Erdem,2,m
Linn,2,w
Eren,2,m
Lisa-Marie,2,w
Erol,2,m
Lisann,2,w
Etienne,2,m
Lisbeth,2,w
Eymen,2,m
Liya,2,w
Felipe,2,m
Liyana,2,w
Finley,2,m
Liz,2,w
Firas,2,m
Luca,2,w
Floris,2,m
Lucy,2,w
Flynn,2,m
Luzie,2,w
Friedemann,2,m
Magdalene,2,w
Gernot,2,m
Malea,2,w
Gianluca,2,m
Malina,2,w
Hagen,2,m
Marei,2,w
Hani,2,m
Marianna,2,w
Herbert,2,m
Marianne,2,w
Horst,2,m
Marie-Louise,2,w
Ilya,2,m
Marion,2,w
Issa,2,m
Marla,2,w
Jad,2,m
Marlen,2,w
Janko,2,m
Maroua,2,w
Jannick,2,m
Melin,2,w
Jarik,2,m
Melinda,2,w
Jaron,2,m
Merit,2,w
Javier,2,m
Merve,2,w
Jay,2,m
Mey,2,w
Jean,2,m
Mika,2,w
Jeremy,2,m
Mimi,2,w
Jim,2,m
Miray,2,w
Joan,2,m
Mona,2,w
Jochen,2,m
Monika,2,w
Jon,2,m
Nadine,2,w
Jonte,2,m
Nadja,2,w
Joël,2,m
Nahla,2,w
Justin,2,m
Nala,2,w
Kamil,2,m
Naz,2,w
Karim,2,m
Nevin,2,w
Kasimir,2,m
Nila,2,w
Keno,2,m
Noelia,2,w
Khan,2,m
Paloma,2,w
Kiano,2,m
Pepper,2,w
Koray,2,m
Pina,2,w
Leif,2,m
Pola,2,w
Lenn,2,m
qizi,2,w
Leonidas,2,m
qızı,2,w
Levent,2,m
Rabea,2,w
Lian,2,m
Rabia,2,w
Lion,2,m
Raymonde,2,w
Luciano,2,m
Reeva,2,w
Luuk,2,m
Rena,2,w
László,2,m
Ronja,2,w
Léon,2,m
Rosmarie,2,w
Maarten,2,m
Ruby,2,w
Mailo,2,m
Sabine,2,w
Manfred,2,m
Safiya,2,w
Mansur,2,m
Salome,2,w
Maria,2,m
Selina,2,w
Mark,2,m
Seraphine,2,w
Markus,2,m
Sevim,2,w
Marlon,2,m
Sherin,2,w
Marten,2,m
Simone,2,w
Massimo,2,m
Soleil,2,w
Mattes,2,m
Stephanie,2,w
Mattheo,2,m
Stine,2,w
Matthew,2,m
Sultan,2,w
Maxime,2,m
Suvi,2,w
Maël,2,m
Sylvie,2,w
Mehmet,2,m
Sümeyra,2,w
Melchior,2,m
Tara,2,w
Melvin,2,m
Teodora,2,w
Mendel,2,m
Thanh,2,w
Merdan,2,m
Thea,2,w
Mete,2,m
Theresia,2,w
Metehan,2,m
Tomma,2,w
Metin,2,m
Toni,2,w
Mick,2,m
Ulrike,2,w
Mohammad,2,m
Valerie,2,w
Murat,2,m
Vanessa,2,w
Nathan,2,m
Vera,2,w
Neel,2,m
Violetta,2,w
Nelson,2,m
Vivien,2,w
Nicholas,2,m
Vivienne,2,w
Nicolai,2,m
Wilma,2,w
Nour,2,m
Yade,2,w
Noël,2,m
Yael,2,w
Nuri,2,m
Yara,2,w
Pablo,2,m
Yasmine,2,w
Pars,2,m
Yumi,2,w
Patrick,2,m
Zofia,2,w
Pavel,2,m
Phil,2,m
Phong,2,m
Quinn,2,m
Recep,2,m
René,2,m
Reza,2,m
Roger,2,m
Ron,2,m
Rubin,2,m
Rufus,2,m
Ryan,2,m
Salomon,2,m
Salvatore,2,m
Sami,2,m
Sander,2,m
Santiago,2,m
Sascha,2,m
Sean,2,m
Stanley,2,m
Tammo,2,m
Tan,2,m
Taylor,2,m
Teoman,2,m
Thies,2,m
Théo,2,m
Travis,2,m
Tuğra,2,m
Tyler,2,m
Umut,2,m
Valentino,2,m
Valerio,2,m
Vico,2,m
Viet,2,m
Vigo,2,m
Vinzenz,2,m
Vuk,2,m
Xavier,2,m
Yakup,2,m
Yassin,2,m
Yaw,2,m
Yigit,2,m
Yiğit,2,m
Yunis,2,m
Zacharias,2,m
Çınar,2,m
Aba,1,w
Abdusalam,1,w
Abeni,1,w
Abokuma,1,w
Abubker,1,w
Abundance,1,w
Ada-Marleen,1,w
Adelheid,1,w
Aditi,1,w
Adnan,1,w
Adrijana,1,w
Aemilia,1,w
Aenne,1,w
Agata,1,w
Aglaia,1,w
Agnese,1,w
Agyeman-Dua,1,w
Ahrona,1,w
Ai'xin,1,w
Aicha,1,w
Aimée,1,w
Ainhoa,1,w
Airin,1,w
Aisha,1,w
Aisling,1,w
Ajsa,1,w
Alabah,1,w
Alanna,1,w
Alanur,1,w
Alara,1,w
Alba,1,w
Alea,1,w
Alejandra,1,w
Aleksandrovna,1,w
Alessa,1,w
Alessia,1,w
Alex,1,w
Aleyna,1,w
Ali,1,w
Alia,1,w
Alima,1,w
Allison,1,w
Aloisia,1,w
Amalie,1,w
Amallie,1,w
Amancay,1,w
Aarun,1,m
Amancaya,1,w
Abbas,1,m
Amanda,1,w
Abd,1,m
Ambre,1,w
Abdalaziz,1,m
Amelya,1,w
Abdallah,1,m
Amerie,1,w
Abdoul-Hamid,1,m
Amilia,1,w
Abdullrazak,1,m
Aminata,1,w
Abdurrahman,1,m
Amit,1,w
Abed,1,m
Ammini,1,w
Abou,1,m
An,1,w
Abu,1,m
Ana-Maria,1,w
Abubaker,1,m
Anabella,1,w
Adar,1,m
Anabelle,1,w
Adeem,1,m
Anastazija,1,w
Adel,1,m
Anaïs,1,w
Ademi,1,m
Anesa,1,w
Adil,1,m
Angel,1,w
Adjei,1,m
Angela,1,w
Ador,1,m
Angeles,1,w
Advan,1,m
Angelina-Maria,1,w
Adão,1,m
Anica,1,w
Aeneas,1,m
Anik,1,w
Agya,1,m
Anika,1,w
Aiden,1,m
Anisa,1,w
Aki,1,m
Anisha,1,w
Akin,1,m
Anja,1,w
Akowuah,1,m
Ann-Carolin,1,w
Al,1,m
Anna-Maria,1,w
Alain,1,m
Anna-Marie,1,w
Alban,1,m
Annabel,1,w
Albrecht,1,m
Annais,1,w
Aleco,1,m
Annalina,1,w
Aleister,1,m
Annalisa,1,w
Alekandro,1,m
Annedoris,1,w
Aleksan,1,m
Anneke,1,w
Aleksander,1,m
Annelies,1,w
Aleksandrovič,1,m
Anni,1,w
Alekseevič,1,m
Annick,1,w
Aleksej,1,m
Annikki,1,w
Alessio,1,m
Anouck,1,w
Alex-Dean,1,m
Anschalida,1,w
Alexandr,1,m
Anthea,1,w
Alexandru,1,m
Antoinette,1,w
Alexeyevich,1,m
Antonella,1,w
Alexis,1,m
Anu,1,w
Alfrid,1,m
Anwar,1,w
Alican,1,m
Apolinia,1,w
Alin,1,m
April,1,w
Aljoscha,1,m
Arian,1,w
Almahboub,1,m
Ariba,1,w
Alojzije,1,m
Arina,1,w
Alon,1,m
Arizona,1,w
Alp,1,m
Arnika,1,w
Alptekin,1,m
Arsema,1,w
Alvarr,1,m
Arshaki,1,w
Amal,1,m
Aryênis,1,w
Aman,1,m
Asem,1,w
Amar,1,m
Asija,1,w
Ambrosius,1,m
Asiye,1,w
Amgalan,1,m
Aslı-Ela,1,w
Amos,1,m
Aslınaz,1,w
Anakin,1,m
Asmin,1,w
Andor,1,m
Astrid,1,w
Andrei-George,1,m
Asude,1,w
András,1,m
Atessa,1,w
Anel,1,m
Atlanta,1,w
Anes,1,m
Auri,1,w
Anouk,1,m
Aurélie,1,w
Anselmo,1,m
Aveline,1,w
Antal,1,m
Avelynn,1,w
Antonin,1,m
Avetis,1,w
António,1,m
Avital,1,w
Araw,1,m
Awa,1,w
Arban,1,m
Axelle,1,w
Arca,1,m
Ayah,1,w
Archie,1,m
Aybüke,1,w
Aren,1,m
Aysela,1,w
Ari,1,m
Ayva,1,w
Arib,1,m
Ayşe,1,w
Arijon,1,m
Bada,1,w
Arin,1,m
Bahija,1,w
Ariyan,1,m
Bandita,1,w
Arjon,1,m
Beate,1,w
Armando,1,m
Beeke,1,w
Arnfried,1,m
Begüm,1,w
Arnim,1,m
Belinay,1,w
Arseniji,1,m
Bella-Francesca,1,w
Arssenij,1,m
Belle,1,w
Aruna,1,m
Bellis,1,w
Asaf,1,m
Berenike,1,w
Ashraf,1,m
Berit,1,w
Asil,1,m
Berra,1,w
Aslan,1,m
Berre,1,w
Asmir,1,m
Bettina,1,w
Aswin,1,m
Betül,1,w
Ata,1,m
Bhagyam,1,w
Atakan,1,m
Bibi,1,w
Athanasios,1,m
Billie,1,w
Atila,1,m
Birgit,1,w
Augustus,1,m
Birgitt,1,w
Aurélio,1,m
Birka,1,w
Avery,1,m
Blanka,1,w
Avi-Dan,1,m
Boya,1,w
Avid,1,m
Bozena,1,w
Aviv,1,m
Brianna,1,w
Avraham,1,m
Brigitta,1,w
Awash,1,m
Britasari,1,w
Ayaz,1,m
Britt,1,w
Aydian,1,m
Britta,1,w
Ayman,1,m
Brocho,1,w
Aynila,1,m
Buglem,1,w
Ayoub,1,m
Buğlem,1,w
Ayssen,1,m
Caledonia,1,w
Aytekin,1,m
Camara,1,w
Aziz,1,m
Camila,1,w
Babacar,1,m
Cansu,1,w
Baha,1,m
Carin,1,w
Bahati,1,m
Carine,1,w
Bakr,1,m
Carlita,1,w
Baonan,1,m
Carlota,1,w
Barışcan,1,m
Carmine,1,w
Bartolomäus,1,m
Cassy,1,w
Bayani,1,m
Catarina,1,w
Beat,1,m
Caterina,1,w
Beer,1,m
Catharina-Natalia,1,w
Belford,1,m
Cecilija,1,w
Ben-Luca,1,m
Cecylia,1,w
Ben-Matthew,1,m
Ceelia,1,w
Ben-Noah,1,m
Celin,1,w
Bendix,1,m
Cesária,1,w
Benedict,1,m
Ceylin,1,w
Benit,1,m
Charlott,1,w
Bera,1,m
Charlotte-Luise,1,w
Berger,1,m
Chaya,1,w
Berkin,1,m
Chayenne,1,w
Bernd-Heinz,1,m
Chelsea,1,w
Bert,1,m
Chen,1,w
Bertalan,1,m
Cherin,1,w
Biagio,1,m
Cheya,1,w
Blake,1,m
Cheyenne,1,w
Bleron,1,m
Chih-Tung,1,w
Bobby,1,m
Chikaodili,1,w
Bobi,1,m
Chimemela,1,w
Bodo,1,m
Chloé,1,w
Bolin,1,m
Christa,1,w
Boyang,1,m
Christabel,1,w
Brando,1,m
Christiana,1,w
Briac,1,m
Cindy,1,w
Brivael,1,m
Claudia,1,w
Brooklyn-Lee,1,m
Clelia,1,w
Brough,1,m
Cleo,1,w
Bryan,1,m
Coco,1,w
Burkard,1,m
Constantina,1,w
Byron,1,m
Cora,1,w
Bách,1,m
Cornelia,1,w
Bünyamin,1,m
Cécilia,1,w
Caden,1,m
Céline,1,w
Cajus,1,m
Dafina,1,w
Caleb,1,m
Dahlia,1,w
Calo,1,m
Daisy,1,w
Calvin,1,m
Damla,1,w
Camille,1,m
Dana,1,w
Camilo,1,m
Daniela,1,w
Can-Carlos,1,m
Darija,1,w
Can-Luca,1,m
Darina,1,w
Canel,1,m
Darja,1,w
Canpolat,1,m
Deborah,1,w
Carlton,1,m
Delali,1,w
Carly,1,m
Delara,1,w
Carmine,1,m
Delphine,1,w
Carsten,1,m
Denemadji,1,w
Carver-James,1,m
Derin,1,w
Caspar-Aurel,1,m
Despina,1,w
Castiel,1,m
Devin,1,w
Cavid,1,m
Didiane,1,w
Cedric,1,m
Dihia,1,w
Cenk,1,m
Dijana,1,w
Cezary,1,m
Dila,1,w
Chase,1,m
Dilay,1,w
Cherno,1,m
Dilayla,1,w
Chester,1,m
Dimitra,1,w
Chibueze,1,m
Dina,1,w
Chibuike,1,m
Dominika,1,w
Chihiro,1,m
Dorothee,1,w
Chima,1,m
Duru,1,w
Chimnaefe,1,m
Délani,1,w
Christan,1,m
Ecrin,1,w
Christiano,1,m
Eda,1,w
Christijano,1,m
Edasu,1,w
Chuluun,1,m
Edina,1,w
Cihangir,1,m
Edit,1,w
Claudio,1,m
Eileen,1,w
Claudius,1,m
Ekaterina,1,w
Clemente,1,m
El,1,w
Clifford,1,m
Elaine,1,w
Cody,1,m
Elanur,1,w
Cody-Jackson,1,m
Elembe,1,w
Colton,1,m
Elfriede,1,w
Conley,1,m
Eli,1,w
Conradin,1,m
Eliana,1,w
Cooper,1,m
Elida,1,w
Cornelis,1,m
Eliez,1,w
Corvinius,1,m
Elifnur,1,w
Corwyn,1,m
Elinor,1,w
Cosimo,1,m
Elira,1,w
Cy,1,m
Elisabetta,1,w
Célian,1,m
Elixabete,1,w
Dalyan,1,m
Eliza,1,w
Damijan,1,m
Elizabeth,1,w
Dan,1,m
Elizan,1,w
Daniil,1,m
Elke,1,w
Danijel,1,m
Elliz,1,w
Danyal,1,m
Elly,1,w
Dariush,1,m
Elma,1,w
Dastan,1,m
Elona,1,w
David-Andreas,1,m
Eluney,1,w
Dawid,1,m
Elvira,1,w
Dejoie,1,m
Elvis,1,w
Demien,1,m
Elyane,1,w
Demir,1,m
Elysia,1,w
Denni,1,m
Elçin,1,w
Deshawn,1,m
Eléna,1,w
Destan-Askan,1,m
Elénore,1,w
Detlef,1,m
Ema,1,w
Devin-Joel,1,m
Emanuele,1,w
Devrim,1,m
Emila,1,w
Dieter,1,m
Emili,1,w
Dimitrov,1,m
Emiliy,1,w
Din,1,m
Emiliya,1,w
Dinenson,1,m
Emilya,1,w
Direnç,1,m
Emine,1,w
Django,1,m
Emma-Maria,1,w
Djimon,1,m
Emmalene,1,w
Dmitrievič,1,m
Emmaline,1,w
Domenic,1,m
Emmy,1,w
Dominic,1,m
Enie,1,w
Dominique,1,m
Enow,1,w
Don,1,m
Ephelia,1,w
Don-Davut,1,m
Erin,1,w
Donatus,1,m
Erva,1,w
Donovan,1,m
Ervanur,1,w
Dorian,1,m
Esi,1,w
Doruk,1,m
Esinam,1,w
Dragan,1,m
Esma,1,w
Duong,1,m
Esperanza,1,w
Durmuş,1,m
Esra,1,w
Dušan,1,m
Ester,1,w
Dzani,1,m
Esteri,1,w
Dương,1,m
Etty,1,w
Ebubekir,1,m
Ev,1,w
Eckart,1,m
