vorname,anzahl,geschlecht,position
Sophie,66,w,2
Marie,58,w,2
Maria,46,w,2
Noah,40,m,1
Maximilian,39,m,2
Emil,35,m,1
Emilia,34,w,1
Ella,31,w,1
Jakob,31,m,1
Mila,31,w,1
Leon,31,m,1
Alexander,30,m,2
Charlotte,29,w,1
Maximilian,28,m,1
Charlotte,27,w,2
Emma,26,w,1
Paul,26,m,1
Mia,26,w,1
Sophie,26,w,1
Paul,25,m,2
Theodor,24,m,1
Alexander,23,m,1
Ida,23,w,1
Jonathan,23,m,1
Sophia,23,w,1
Leonard,23,m,1
Theo,23,m,1
Jonas,22,m,1
Friedrich,21,m,2
Anna,21,w,1
Lea,21,w,1
Clara,20,w,1
Anton,20,m,1
Helena,20,w,1
David,20,m,1
Lara,20,w,1
Elias,20,m,1
Leo,20,m,1
Luca,20,m,1
Elias,19,m,2
Emilia,19,w,2
Lena,19,w,1
Ilyas,19,m,1
Alma,18,w,1
Hanna,18,w,1
Hannah,18,w,1
Elisabeth,17,w,2
Felix,17,m,1
Amelie,17,w,1
Louis,17,m,1
Laura,17,w,1
Lukas,17,m,1
Mathilda,17,w,1
Oskar,17,m,1
Mira,17,w,1
Paula,17,w,1
Marie,16,w,3
Sophia,16,w,2
Henry,16,m,1
Leopold,16,m,1
Johanna,16,w,1
Levi,16,m,1
Lina,16,w,1
Max,16,m,1
Nora,16,w,1
Samuel,16,m,1
Johanna,15,w,2
Marie,15,w,1
Karl,15,m,1
Maya,15,w,1
Liam,15,m,1
Sofia,15,w,1
Matteo,15,m,1
Milan,15,m,1
Anton,14,m,2
Karl,14,m,2
Luise,14,w,2
Emily,14,w,1
Greta,14,w,1
Adam,14,m,1
Lia,14,w,1
Arthur,14,m,1
Liya,14,w,1
Benjamin,14,m,1
Daniel,14,m,1
Vincent,14,m,1
Theodor,13,m,2
Carla,13,w,1
Ela,13,w,1
Isabella,13,w,1
Ben,13,m,1
Leni,13,w,1
Bruno,13,m,1
Carl,13,m,1
Jonah,13,m,1
Justus,13,m,1
Raphael,13,m,1
Anna,12,w,2
Katharina,12,w,2
Antonia,12,w,1
Olivia,12,w,1
Stella,12,w,1
Benedikt,12,m,1
Friedrich,12,m,1
Jan,12,m,1
Jasper,12,m,1
Julius,12,m,1
Mika,12,m,1
Milo,12,m,1
Moritz,12,m,1
Arthur,11,m,2
Emil,11,m,2
Valentin,11,m,2
Marlene,11,w,2
Valentina,11,w,2
Elisa,11,w,1
Victoria,11,w,1
Adrian,11,m,1
Finn,11,m,1
Henri,11,m,1
Linus,11,m,1
Maxim,11,m,1
Niklas,11,m,1
Ali,10,m,2
Gabriel,10,m,2
Louis,10,m,2
Clara,10,w,2
Michael,10,m,2
Elisa,10,w,2
Elise,10,w,2
Lucia,10,w,2
Luisa,10,w,2
Pauline,10,w,2
Ava,10,w,1
Carlotta,10,w,1
Elif,10,w,1
Elisabeth,10,w,1
Frieda,10,w,1
Julia,10,w,1
Mina,10,w,1
Tilda,10,w,1
Aaron,10,m,1
Gabriel,10,m,1
Johann,10,m,1
Maria,9,w,3
Sophie,9,w,3
Benjamin,9,m,2
Johannes,9,m,2
Leonard,9,m,2
Noah,9,m,2
Philipp,9,m,2
Mia,9,w,2
Wilhelm,9,m,2
Victoria,9,w,2
Leonie,9,w,1
Leyla,9,w,1
Luise,9,w,1
Maria,9,w,1
Nele,9,w,1
Valentina,9,w,1
Amir,9,m,1
Erik,9,m,1
Hugo,9,m,1
Joris,9,m,1
Joshua,9,m,1
Leonardo,9,m,1
Oliver,9,m,1
Tom,9,m,1
Yusuf,9,m,1
Can,8,m,2
Amalia,8,w,2
Constantin,8,m,2
Su,8,w,2
Felix,8,m,2
Henri,8,m,2
Jonathan,8,m,2
Leander,8,m,2
Luis,8,m,2
Robert,8,m,2
Cleo,8,w,1
Elena,8,w,1
Eva,8,w,1
Frida,8,w,1
Juna,8,w,1
Klara,8,w,1
Lilly,8,w,1
Lotta,8,w,1
Luisa,8,w,1
Marlene,8,w,1
Martha,8,w,1
Paulina,8,w,1
Ali,8,m,1
Rosa,8,w,1
Fritz,8,m,1
Sara,8,w,1
Johannes,8,m,1
Zoe,8,w,1
Julian,8,m,1
Lasse,8,m,1
Luis,8,m,1
Mattis,8,m,1
Michael,8,m,1
Oscar,8,m,1
Yunus,8,m,1
Carlotta,7,w,2
Isabella,7,w,2
Liya,7,w,2
Nur,7,w,2
Sofie,7,w,2
Aaron,7,m,2
David,7,m,2
Julius,7,m,2
Leopold,7,m,2
Richard,7,m,2
Samuel,7,m,2
Alisa,7,w,1
Amalia,7,w,1
Elise,7,w,1
Leah,7,w,1
Livia,7,w,1
Luna,7,w,1
Mara,7,w,1
Albert,7,m,1
Rosalie,7,w,1
Georg,7,m,1
Sarah,7,w,1
Kian,7,m,1
Yuna,7,w,1
Levin,7,m,1
Lio,7,m,1
Malik,7,m,1
Mateo,7,m,1
Mio,7,m,1
Ole,7,m,1
Timur,7,m,1
Tobias,7,m,1
Valentin,7,m,1
Elisabeth,6,w,3
Antonia,6,w,2
Emma,6,w,2
Helene,6,w,2
Lea,6,w,2
Lina,6,w,2
Louise,6,w,2
Magdalena,6,w,2
Albert,6,m,2
Mathilda,6,w,2
Christian,6,m,2
Mina,6,w,2
Franz,6,m,2
Sofia,6,w,2
Gustav,6,m,2
Konstantin,6,m,2
Levi,6,m,2
Otto,6,m,2
Pepe,6,m,2
Amira,6,w,1
Elin,6,w,1
Elsa,6,w,1
Fiona,6,w,1
Helene,6,w,1
Karla,6,w,1
Lisa,6,w,1
Liv,6,w,1
Maja,6,w,1
Jaron,6,m,1
Marla,6,w,1
Kiyan,6,m,1
Mona,6,w,1
Konstantin,6,m,1
Nils,6,m,1
Rafael,6,m,1
Rio,6,m,1
Tim,6,m,1
Toni,6,m,1
William,6,m,1
Yasin,6,m,1
Ömer,6,m,1
Friedrich,5,m,3
Peter,5,m,3
Walter,5,m,3
Charlotte,5,w,3
Alexandra,5,w,2
Ava,5,w,2
Emilie,5,w,2
Eva,5,w,2
Ida,5,w,2
Benedikt,5,m,2
Josephine,5,w,2
Bruno,5,m,2
Leni,5,w,2
Carl,5,m,2
Margarete,5,w,2
Caspar,5,m,2
Mathilde,5,w,2
Daniel,5,m,2
Matilda,5,w,2
Elia,5,m,2
Nisa,5,w,2
Frederik,5,m,2
Olivia,5,w,2
Hans,5,m,2
Rose,5,w,2
Jacob,5,m,2
Viktoria,5,w,2
Jakob,5,m,2
Jan,5,m,2
Josef,5,m,2
Konrad,5,m,2
Leon,5,m,2
Lukas,5,m,2
Max,5,m,2
Noel,5,m,2
Oscar,5,m,2
Oskar,5,m,2
Peter,5,m,2
Raphael,5,m,2
Ada,5,w,1
Aliya,5,w,1
Aliyah,5,w,1
Alva,5,w,1
Amelia,5,w,1
Anastasia,5,w,1
Ariana,5,w,1
Azra,5,w,1
Edda,5,w,1
Adem,5,m,1
Fatima,5,w,1
Can,5,m,1
Karlotta,5,w,1
Carlo,5,m,1
Linda,5,w,1
Caspar,5,m,1
Linnea,5,w,1
Clemens,5,m,1
Lola,5,w,1
Damian,5,m,1
Louise,5,w,1
Emilian,5,m,1
Malia,5,w,1
Fabian,5,m,1
Mayla,5,w,1
Franz,5,m,1
Melina,5,w,1
Frederick,5,m,1
Merle,5,w,1
Hamza,5,m,1
Milena,5,w,1
Hannes,5,m,1
Noa,5,w,1
Hans,5,m,1
Noemi,5,w,1
Johan,5,m,1
John,5,m,1
Karim,5,m,1
Laurin,5,m,1
Leander,5,m,1
Lennard,5,m,1
Luan,5,m,1
Luka,5,m,1
Mert,5,m,1
Mohammad,5,m,1
Musa,5,m,1
Robin,5,m,1
Titus,5,m,1
Victor,5,m,1
Johannes,4,m,3
Leonard,4,m,3
Paul,4,m,3
Richard,4,m,3
Elena,4,w,2
Frida,4,w,2
Jasmin,4,w,2
Leonie,4,w,2
Lia,4,w,2
Lotta,4,w,2
Malou,4,w,2
Marianne,4,w,2
Maya,4,w,2
Minou,4,w,2
Noemi,4,w,2
Philine,4,w,2
Adrian,4,m,2
Renate,4,w,2
August,4,m,2
Rita,4,w,2
Erik,4,m,2
Rosa,4,w,2
Ferdinand,4,m,2
Rosalie,4,w,2
Finn,4,m,2
Stella,4,w,2
Fritz,4,m,2
Georg,4,m,2
Gregor,4,m,2
Heinrich,4,m,2
Henry,4,m,2
Hugo,4,m,2
Isaac,4,m,2
Johann,4,m,2
Jona,4,m,2
Jonas,4,m,2
Julian,4,m,2
Justus,4,m,2
Levin,4,m,2
Liam,4,m,2
Lucas,4,m,2
Mio,4,m,2
Nicolas,4,m,2
Niklas,4,m,2
Ole,4,m,2
Theo,4,m,2
Thomas,4,m,2
Tom,4,m,2
Yiğit,4,m,2
Alea,4,w,1
Alina,4,w,1
Amaya,4,w,1
Amina,4,w,1
Aurelia,4,w,1
Ayla,4,w,1
Clea,4,w,1
Elina,4,w,1
Flora,4,w,1
Freya,4,w,1
Gloria,4,w,1
Hafsa,4,w,1
Hedwig,4,w,1
Helen,4,w,1
Alwin,4,m,1
Hella,4,w,1
Antonio,4,m,1
Isabel,4,w,1
Aron,4,m,1
Juli,4,w,1
Bela,4,m,1
Kira,4,w,1
Charlie,4,m,1
Liana,4,w,1
Constantin,4,m,1
Liyana,4,w,1
Elian,4,m,1
Lucia,4,w,1
Elijah,4,m,1
Malina,4,w,1
Emilio,4,m,1
Melisa,4,w,1
Emin,4,m,1
Meryem,4,w,1
Emir,4,m,1
Nela,4,w,1
Eymen,4,m,1
Nika,4,w,1
Filip,4,m,1
Nour,4,w,1
Frederik,4,m,1
Philine,4,w,1
Gregor,4,m,1
Philippa,4,w,1
Hassan,4,m,1
Rania,4,w,1
Jannik,4,m,1
Ruby,4,w,1
Jannis,4,m,1
Selma,4,w,1
Janosch,4,m,1
Smilla,4,w,1
Juri,4,m,1
Talia,4,w,1
Kasimir,4,m,1
Thea,4,w,1
Lean,4,m,1
Viktoria,4,w,1
Leonidas,4,m,1
Lino,4,m,1
Lorenzo,4,m,1
Loris,4,m,1
